job_title,company,city,sector,posted_date,skills,ai_mention_count,url
DevOps Engineer | DELHI NCR | Bangalore,CLIENT OF USHEMA  HR SOLUTION LEADER IN SECURITIES SERVICS,Ahmedabad,DevOps / Cloud,5 days ago,cicd | devops | cloud technologies | docker | continuous integration | aws cloudformation | docker swarm | ci cd pipeline,0,https://www.naukri.com/job-listings-devops-engineer-delhi-ncr-bangalore-ahmedabad-ushema-mansystem-ahmedabad-bengaluru-delhi-ncr-2-to-7-years-210225008292
Business Analyst - Male candidates only,Accrete Globus Technology,Ahmedabad(Sg Highway),Data & Analytics,3 weeks ago,gap analysis | communication skills | requirement gathering | project management | documentation | project delivery | business analysis | delivery,0,https://www.naukri.com/job-listings-business-analyst-male-candidates-only-accrete-globus-technology-ahmedabad-bengaluru-0-to-2-years-120226034477
Tamil Voice Process - WFO / Customer Support / BPO,Gold Tree Hr Solutions,Ambattur,BPO / Customer Support,2 days ago,solving queries | tamil voice process | inbound voice process | customer support | collections process | bpo | inbound process | malayalam,0,https://www.naukri.com/job-listings-tamil-voice-process-wfo-customer-support-bpo-gold-tree-hr-solutions-ambattur-hyderabad-bengaluru-0-to-3-years-030326032377
Content Writer,Global Indian International School,Anekal,Digital Marketing,2/25/2026,,0,https://in.linkedin.com/jobs/view/content-writer-at-global-indian-international-school-4374871953
Staff Machine Learning Engineer,Tata Consultancy Services,Bangalore,AI / ML,Few hours ago,generative ai | machine learning | deep learning | agentic ai | python | tensorflow | artificial intelligence | natural language processing,9,https://www.naukri.com/job-listings-staff-machine-learning-engineer-tata-consultancy-services-bengaluru-7-to-12-years-190126027013
Machine Learning /Computer Vision Engineer - PhD,Ltms Consulting,Bangalore,AI / ML,1 day ago,machine learning | matlab | pytorch | computer vision | python | sas | artificial intelligence | natural language processing,9,https://www.naukri.com/job-listings-machine-learning-computer-vision-engineer-phd-ltms-consulting-bengaluru-5-to-10-years-050326014354
AIML Data scientist with Generative AI,ITC Infotech,Bangalore,AI / ML,3 days ago,azure | generative ai | chatbot | agentic ai | vector database | rag | llm | dialogflow,8,https://www.naukri.com/job-listings-aiml-data-scientist-with-generative-ai-itc-infotech-bengaluru-8-to-12-years-020326021505
Machine Learning Engineer II - Computer Vision,Glance,Bangalore,AI / ML,3+ weeks ago,telecom | computer vision | accessories | deep learning | automation | orchestration | machine learning | manager technology,8,https://www.naukri.com/job-listings-machine-learning-engineer-ii-computer-vision-glance-it-solution-bengaluru-3-to-6-years-060126503648
Data Scientist,E Solutions,Bangalore,AI / ML,2 days ago,data science | machine learning | python | artificial intelligence | natural language processing | data analytics | deep learning | processing,7,https://www.naukri.com/job-listings-data-scientist-e-solutions-bengaluru-7-to-12-years-030326021838
Machine Learning Engineer II - Reco Systems & Agentic AI,Glance,Bangalore,AI / ML,3+ weeks ago,engineer ii | telecom | accessories | deep learning | statistical modeling | machine learning | manager technology | ecommerce,6,https://www.naukri.com/job-listings-machine-learning-engineer-ii-reco-systems-agentic-ai-glance-it-solution-bengaluru-1-to-10-years-231225502941
Machine Learning Engineer - 2,Parspec,Bangalore,AI / ML,3+ weeks ago,algorithms | python | natural language processing | scikitlearn | training | numpy | machine learning | artificial intelligence,6,https://www.naukri.com/job-listings-machine-learning-engineer-2-parspec-bengaluru-4-to-7-years-200825500099
Machine Learning Engineer II - Recommendation Systems,Glance,Bangalore,AI / ML,3+ weeks ago,telecom | computer vision | accessories | automation | orchestration | machine learning | manager technology | open source,6,https://www.naukri.com/job-listings-machine-learning-engineer-ii-recommendation-systems-glance-it-solution-bengaluru-3-to-6-years-080126504217
Embedded AI Data Scientist,Version 1,Bangalore,AI / ML,3 days ago,python | deep learning frameworks | natural language processing | microsoft azure | bert | machine learning | rts | rust,5,https://www.naukri.com/job-listings-embedded-ai-data-scientist-version-1-services-private-limited-bengaluru-3-to-7-years-020326921218
Data Scientist / Machine Learning Engineer Gen AI & LLM,Databricks,Bangalore,AI / ML,3+ weeks ago,tensorflow | scikitlearn | gcp | pytorch | microsoft azure | aws | machine learning | machine,5,https://www.naukri.com/job-listings-data-scientist-machine-learning-engineer-gen-ai-llm-databricks-bengaluru-3-to-7-years-180325503453
Artificial Intelligence&Machine Learning Engineer-Contractual-Bangalor,Reycruit,Bangalore,AI / ML,2 weeks ago,pytorch | artificial intelligence | machine learning | python | tensorflow | ai solutions | aiml | keras,5,https://www.naukri.com/job-listings-artificial-intelligence-machine-learning-engineer-contractual-bangalor-reycruit-bengaluru-4-to-6-years-180226009765
Machine Learning Engineer IV Biometrics,Jumio Corporation,Bangalore,AI / ML,1 week ago,computer vision | automation | production engineering | machine learning | workflow | data privacy | gaming | financial services,5,https://www.naukri.com/job-listings-machine-learning-engineer-iv-biometrics-jumio-corporation-bengaluru-5-to-10-years-260226504507
AI & Machine Learning Engineer,Artpark,Bangalore,AI / ML,3+ weeks ago,computer vision | deep learning | usage | machine learning | signal processing | manufacturing operations | operations | robotics,5,https://www.naukri.com/job-listings-ai-machine-learning-engineer-artpark-bengaluru-2-to-5-years-071125503300
Machine Learning Engineer - IV,Jumio Corporation,Bangalore,AI / ML,3+ weeks ago,computer science | biometrics | computer vision | automation | machine learning | gaming | monitoring | financial services,5,https://www.naukri.com/job-listings-machine-learning-engineer-iv-fraud-jumio-corporation-bengaluru-2-to-4-years-080126501154
DATA SCIENTIST - DATA SCIENTIST,Happiest Minds Technologies,Bangalore,AI / ML,1 day ago,python | workflow | natural language processing | scikitlearn | neural networks | numpy | machine learning | artificial intelligence,4,https://www.naukri.com/job-listings-data-scientist-data-scientist-happiest-minds-technologies-bengaluru-3-to-5-years-050326027549
Job Opening - Data Scientist - Bangalore,Tech Mahindra,Bangalore,AI / ML,2 days ago,data science | machine learning | genai | artificial intelligence | causal inference | python | ml | science,4,https://www.naukri.com/job-listings-opening-data-scientist-bangalore-tech-mahindra-bengaluru-9-to-12-years-040326004003
